UID,UAge,USex,URace,UIdeo,UStance,AIFam,AIChatFreq,AIChatComf,AIForNews,EvaAIInfoConf,TrustAIInfo,CloseToSE,CloseToSM,CloseToNA,CloseToNW,IndepEvaConf,TrustNews,FactCheckFreq,FeelMisinfo,AIStance,NID,News,PreEva,PreConf,PostEva,PostConf,Truth,PoliBias,HumanTrustBias,PerceivedImprove,AIInterMean,PerceivedAIRole,AIJudge,AILackJudgeImp,GFeedback,WillRecommendAI,AIStanceLabel,AIStanceCode,UStanceLabel,UStanceCode,PreConfCode,PostConfCode,PreEvaCode,PostEvaCode,TruthCode,PerceivedImproveCode,UStanceLabel_S,AIStanceLabel_S,AIFamCode,UIdeoCode,AIChatFreqCode,IndepEvaConfCode,FactCheckFreqCode,AIChatComfCode,EvaAIInfoConfCode,TrustAIInfoCode,TrustNewsCode,FeelMisinfoCode,EngagementOverall,EngagementBehavioral,EngagementCognitive,EngagementEmotional,EngagementAutonomy,EngagementSocialPresence,ConvLength,AIEva,AICorrectness,weight,ConvRound
3,34,Male,Other,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Somewhat confident,Somewhat trustworthy,A few times a week,About once a day,About once a day,A few times a week,Somewhat confident,Neutral,Rarely,Once a week,This AI is a GPT-4o model prompted to be strong republican.,1,Silent-era film actor Charlie Chaplin once lost a Charlie Chaplin look-alike contest.,true,Moderately confident,true,Extremely confident,unsure,Neutral,Republican,Quite a bit,Very meaningful,Primarily as an agent trying to influence or persuade me in making determinations,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,It was interesting. As if I am talking with a real person.,Likely,Strong Republican,2,Independent,0,0.6,1.0,1,1,0,4,Independent,Republican,4,0.0,6,3.0,2,2.0,2.0,1.0,0,3.0,Low,2,1,1,1,1,13.0,1.0,0.5,0.8978704225746886,2.0
3,34,Male,Other,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Somewhat confident,Somewhat trustworthy,A few times a week,About once a day,About once a day,A few times a week,Somewhat confident,Neutral,Rarely,Once a week,This AI is a GPT-4o model prompted to be strong republican.,7,"Joe Biden referred to Egyptian President Abdel Fattah El-Sisi as ""the president of Mexico"" during remarks about the humanitarian crisis in the Gaza Strip.",false,Moderately confident,true,Very confident,true,Republican,Republican,Quite a bit,Very meaningful,Primarily as an agent trying to influence or persuade me in making determinations,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,It was interesting. As if I am talking with a real person.,Likely,Strong Republican,2,Independent,0,0.6,0.8,-1,1,1,4,Independent,Republican,4,0.0,6,3.0,2,2.0,2.0,1.0,0,3.0,Low,1,1,1,1,1,7.0,0.5,0.5,0.5504253911861589,1.0
3,34,Male,Other,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Somewhat confident,Somewhat trustworthy,A few times a week,About once a day,About once a day,A few times a week,Somewhat confident,Neutral,Rarely,Once a week,This AI is a GPT-4o model prompted to be strong republican.,17,"American flags were not visible at a rally supporting U.S. Vice President Kamala Harris' campaign, held on the campus of Temple University in Philadelphia, on Oct. 28, 2024.",true,Slightly confident,true,Very confident,true,Republican,Republican,Quite a bit,Very meaningful,Primarily as an agent trying to influence or persuade me in making determinations,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,It was interesting. As if I am talking with a real person.,Likely,Strong Republican,2,Independent,0,0.4,0.8,1,1,1,4,Independent,Republican,4,0.0,6,3.0,2,2.0,2.0,1.0,0,3.0,Low,1,1,1,1,1,5.0,0.5,0.5,1.0,1.0
6,32,Male,An ethnicity not listed here,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Several times a week,Very comfortable,No,Very confident,Somewhat untrustworthy,About once a day,About once a week,Never,About once a week,Not very confident,Neutral,Rarely,Rarely,This AI is a GPT-4o model prompted to be strong democrat.,1,Silent-era film actor Charlie Chaplin once lost a Charlie Chaplin look-alike contest.,false,Not at all confident,true,Not at all confident,unsure,Neutral,Republican,Somewhat,Extremely meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,,Neutral,Strong Democrat,-2,Independent,0,0.2,0.2,-1,1,0,3,Independent,Democrat,4,0.0,5,2.0,2,2.0,3.0,-1.0,0,1.0,Moderate,2,2,1,2,1,17.0,1.0,0.5,0.923424921635074,3.0
6,32,Male,An ethnicity not listed here,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Several times a week,Very comfortable,No,Very confident,Somewhat untrustworthy,About once a day,About once a week,Never,About once a week,Not very confident,Neutral,Rarely,Rarely,This AI is a GPT-4o model prompted to be strong democrat.,12,"In the 1920s, doctors prescribed Guinness beer to pregnant women for its iron content.",true,Not at all confident,true,Not at all confident,true,Neutral,Democrat,Somewhat,Extremely meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,,Neutral,Strong Democrat,-2,Independent,0,0.2,0.2,1,1,1,3,Independent,Democrat,4,0.0,5,2.0,2,2.0,3.0,-1.0,0,1.0,Moderate,2,2,1,1,1,16.0,1.0,1.0,0.988659362580942,3.0
6,32,Male,An ethnicity not listed here,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Several times a week,Very comfortable,No,Very confident,Somewhat untrustworthy,About once a day,About once a week,Never,About once a week,Not very confident,Neutral,Rarely,Rarely,This AI is a GPT-4o model prompted to be strong democrat.,16,"Pete Hegseth (TV presenter and former Army National Guard officer) said ""Germs are not a real thing. I can't see them, therefore they are not real.""",false,Extremely confident,false,Not at all confident,true,Republican,Democrat,Somewhat,Extremely meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,,Neutral,Strong Democrat,-2,Independent,0,1.0,0.2,-1,-1,1,3,Independent,Democrat,4,0.0,5,2.0,2,2.0,3.0,-1.0,0,1.0,Low,2,2,1,1,1,20.0,0.5,0.5,3.1841717340811204,3.0
9,27,Male,White,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Somewhat comfortable,Yes,Somewhat confident,Somewhat trustworthy,A few times a day or more,About once a day,A few times a week,About once a week,Very confident,Mostly trust,Frequently,Several times a week,This AI is a GPT-4o model prompted to be politically neutral.,4,Microsoft Co-Founder and billionaire Bill Gates owns a farm that produces potatoes used in McDonald's french fries.,false,Moderately confident,unsure,,true,Neutral,Democrat,Very much,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,I felt that the AI understanding and rebuking the point without any form of criticism or insults makes this interaction very informative,Likely,Politically Neutral,0,Independent,0,0.6,0.0,-1,0,1,5,Independent,Neutral,4,0.0,6,4.0,4,1.0,2.0,1.0,1,4.0,Moderate,2,2,1,1,1,6.0,1.0,1.0,1.0,1.0
9,27,Male,White,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Somewhat comfortable,Yes,Somewhat confident,Somewhat trustworthy,A few times a day or more,About once a day,A few times a week,About once a week,Very confident,Mostly trust,Frequently,Several times a week,This AI is a GPT-4o model prompted to be politically neutral.,11,Donald Trump once suggested that people inject bleach or other disinfectants into their bodies to treat COVID-19.,false,Extremely confident,false,Extremely confident,false,Democrat,Democrat,Very much,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,I felt that the AI understanding and rebuking the point without any form of criticism or insults makes this interaction very informative,Likely,Politically Neutral,0,Independent,0,1.0,1.0,-1,-1,-1,5,Independent,Neutral,4,0.0,6,4.0,4,1.0,2.0,1.0,1,4.0,Low,2,2,1,1,1,13.0,0.5,0.5,0.0341710693282023,1.0
9,27,Male,White,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Somewhat comfortable,Yes,Somewhat confident,Somewhat trustworthy,A few times a day or more,About once a day,A few times a week,About once a week,Very confident,Mostly trust,Frequently,Several times a week,This AI is a GPT-4o model prompted to be politically neutral.,13,Donald Trump's Hollywood Walk of Fame star had a drain installed due to people repeatedly urinating on it.,true,Very confident,false,Very confident,false,Democrat,Democrat,Very much,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Somewhat increased my comfort by providing a judgment-free interaction,I felt that the AI understanding and rebuking the point without any form of criticism or insults makes this interaction very informative,Likely,Politically Neutral,0,Independent,0,0.8,0.8,1,-1,-1,5,Independent,Neutral,4,0.0,6,4.0,4,1.0,2.0,1.0,1,4.0,Low,2,2,1,1,1,22.0,0.1,0.9,1.1444790216925331,1.0
12,38,Female,Black or African American,Extremely liberal,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,No,Very confident,Somewhat untrustworthy,About once a month,About once a day,About once every few months,Never,Very confident,Neutral,Frequently,Daily,This AI is a GPT-4o model prompted to be strong republican.,2,"During jury selection for Trump's hush-money trial, the judge asked a potential juror, ""It says here that you tweeted, ahem, and I quote 'f*** that treasonous orange s***gibbon and the dead ferret on his head' —is that accurate?"" The juror responded, ""The tweet speaks for itself, your honor.""",true,Extremely confident,true,Extremely confident,false,Democrat,Republican,Not at all,Not meaningful at all,Primarily as an agent trying to influence or persuade me in making determinations,I felt judged during our interaction,,,Very unlikely,Strong Republican,2,Independent,0,1.0,1.0,1,1,-1,1,Independent,Republican,4,3.0,6,4.0,4,2.0,3.0,-1.0,0,5.0,Moderate,2,2,2,2,1,97.0,0.0,1.0,1.1656011849604724,3.0
