UID,UAge,USex,URace,UIdeo,UStance,AIFam,AIChatFreq,AIChatComf,AIForNews,EvaAIInfoConf,TrustAIInfo,CloseToSE,CloseToSM,CloseToNA,CloseToNW,IndepEvaConf,TrustNews,FactCheckFreq,FeelMisinfo,AIStance,NID,News,PreEva,PreConf,PostEva,PostConf,Truth,PoliBias,HumanTrustBias,PerceivedImprove,AIInterMean,PerceivedAIRole,AIJudge,AILackJudgeImp,GFeedback,Inconsis,InconsisComment,AIStanceLabel,AIStanceCode,UStanceLabel,UStanceCode,PreConfCode,PostConfCode,PreEvaCode,PostEvaCode,TruthCode,PerceivedImproveCode,UStanceLabel_S,AIStanceLabel_S,PostCorrect,PreCorrect,UIdeoCode,AIFamCode,AIChatFreqCode,IndepEvaConfCode,FactCheckFreqCode,AIChatComfCode,EvaAIInfoConfCode,TrustAIInfoCode,TrustNewsCode,FeelMisinfoCode,AI1Eva,AI2Eva,AI1Correctness,AI2Correctness,weight,ConvRound,ConvLength,LengthPerRound,EngagementOverall,EngagementBehavioral,EngagementCognitive,EngagementEmotional,EngagementAutonomy,EngagementSocialPresence
2982,26,Male,Black or African American,Conservative,Strong Republican,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,No,Very confident,Very trustworthy,A few times a day or more,A few times a day or more,About once a day,A few times a day or more,Very confident,Fully trust,Frequently,Several times a week,"('This AI is a GPT-4o model prompted to be politically neutral.', 'This AI is a GPT-4o model prompted to be somewhat republican.')",6,"Medieval Italian man Bartelomeo Colleoni's last name meant ""balls"" in Italian and his coat of arms featured testicle-inspired symbols.",unsure,,true,Extremely confident,true,Neutral,Republican,Very much,Extremely meaningful,Mostly as a tool to assist me in making my own determinations,"('I did not feel judged during our interaction', 'I did not feel judged during our interaction')","Significantly increased my comfort, especially when discussing opposing viewpoints",,,,"('Politically Neutral', 'Somewhat Republican')","(0, 1)",Strong Republican,2,0.0,1.0,0,1,1,5,Republican,"('Neutral', 'Republican')",1,0,-2,4,6,4.0,4,2.0,3.0,2.0,2,4.0,1.0,1.0,1.0,1.0,0.2218805147033597,1.0,8.0,8.0,Low,1,1,1,1,1
2982,26,Male,Black or African American,Conservative,Strong Republican,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,No,Very confident,Very trustworthy,A few times a day or more,A few times a day or more,About once a day,A few times a day or more,Very confident,Fully trust,Frequently,Several times a week,"('This AI is a GPT-4o model prompted to be politically neutral.', 'This AI is a GPT-4o model prompted to be somewhat republican.')",7,"Joe Biden referred to Egyptian President Abdel Fattah El-Sisi as ""the president of Mexico"" during remarks about the humanitarian crisis in the Gaza Strip.",unsure,,false,Very confident,true,Republican,Republican,Very much,Extremely meaningful,Mostly as a tool to assist me in making my own determinations,"('I did not feel judged during our interaction', 'I did not feel judged during our interaction')","Significantly increased my comfort, especially when discussing opposing viewpoints",,,,"('Politically Neutral', 'Somewhat Republican')","(0, 1)",Strong Republican,2,0.0,0.8,0,-1,1,5,Republican,"('Neutral', 'Republican')",0,0,-2,4,6,4.0,4,2.0,3.0,2.0,2,4.0,0.1,0.1,0.0999999999999999,0.0999999999999999,0.1000000000000001,1.0,11.0,11.0,Low,1,1,1,1,1
2982,26,Male,Black or African American,Conservative,Strong Republican,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,No,Very confident,Very trustworthy,A few times a day or more,A few times a day or more,About once a day,A few times a day or more,Very confident,Fully trust,Frequently,Several times a week,"('This AI is a GPT-4o model prompted to be politically neutral.', 'This AI is a GPT-4o model prompted to be somewhat republican.')",18,Male kangaroos purposely flex their biceps to impress females.,true,Extremely confident,true,Extremely confident,unsure,Neutral,Democrat,Very much,Extremely meaningful,Mostly as a tool to assist me in making my own determinations,"('I did not feel judged during our interaction', 'I did not feel judged during our interaction')","Significantly increased my comfort, especially when discussing opposing viewpoints",,,,"('Politically Neutral', 'Somewhat Republican')","(0, 1)",Strong Republican,2,1.0,1.0,1,1,0,5,Republican,"('Neutral', 'Republican')",0,0,-2,4,6,4.0,4,2.0,3.0,2.0,2,4.0,0.8,0.8,0.7,0.7,9.999999999996463,1.0,10.0,10.0,Low,1,1,1,1,1
2985,43,Female,White,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Once a week,Somewhat comfortable,Yes,Somewhat confident,Neutral,About once a week,Never,About once a week,About once a week,Very confident,Neutral,Frequently,Several times a week,"('This AI is a GPT-4o model prompted to be strong republican.', 'This AI is a GPT-4o model prompted to be somewhat republican.')",5,"Donald Trump said Adolf Hitler ""did some good things.""",true,Very confident,true,Very confident,unsure,Democrat,Democrat,,,,"(nan, nan)",,,,,"('Strong Republican', 'Somewhat Republican')","(2, 1)",Independent,0,0.8,0.8,1,1,0,0,Independent,"('Republican', 'Republican')",0,0,0,4,4,4.0,4,1.0,2.0,0.0,0,4.0,0.2,0.2,0.7,0.7,0.1000000000001706,3.0,279.0,93.0,Moderate,2,2,2,2,1
2985,43,Female,White,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Once a week,Somewhat comfortable,Yes,Somewhat confident,Neutral,About once a week,Never,About once a week,About once a week,Very confident,Neutral,Frequently,Several times a week,"('This AI is a GPT-4o model prompted to be strong republican.', 'This AI is a GPT-4o model prompted to be somewhat republican.')",7,"Joe Biden referred to Egyptian President Abdel Fattah El-Sisi as ""the president of Mexico"" during remarks about the humanitarian crisis in the Gaza Strip.",true,Very confident,true,Very confident,true,Republican,Republican,,,,"(nan, nan)",,,,,"('Strong Republican', 'Somewhat Republican')","(2, 1)",Independent,0,0.8,0.8,1,1,1,0,Independent,"('Republican', 'Republican')",1,1,0,4,4,4.0,4,1.0,2.0,0.0,0,4.0,0.5,0.5,0.5,0.5,1.5087945235831888,1.0,10.0,10.0,Low,1,1,1,1,1
2985,43,Female,White,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Once a week,Somewhat comfortable,Yes,Somewhat confident,Neutral,About once a week,Never,About once a week,About once a week,Very confident,Neutral,Frequently,Several times a week,"('This AI is a GPT-4o model prompted to be strong republican.', 'This AI is a GPT-4o model prompted to be somewhat republican.')",16,"Pete Hegseth (TV presenter and former Army National Guard officer) said ""Germs are not a real thing. I can't see them, therefore they are not real.""",true,Extremely confident,true,Extremely confident,true,Republican,Democrat,,,,"(nan, nan)",,,,,"('Strong Republican', 'Somewhat Republican')","(2, 1)",Independent,0,1.0,1.0,1,1,1,0,Independent,"('Republican', 'Republican')",1,1,0,4,4,4.0,4,1.0,2.0,0.0,0,4.0,0.5,0.2,0.5,0.1999999999999999,0.1000000000000007,1.0,80.0,80.0,Moderate,2,2,2,2,1
2988,66,Female,White,Extremely liberal,Strong Democrat,Not very familiar (I have heard of AI but have little direct experience),Once a week,Somewhat uncomfortable,No,Not very confident,Very untrustworthy,A few times a day or more,A few times a day or more,About once a day,A few times a day or more,Not very confident,Mostly distrust,Rarely,Once a week,"('This AI is a default GPT-4o model.', 'This AI is a GPT-4o model prompted to be strong republican.')",5,"Donald Trump said Adolf Hitler ""did some good things.""",true,Extremely confident,unsure,,unsure,Democrat,Democrat,Not at all,Slightly meaningful,A mix of both a tool and an influencing agent,"('I did not feel judged during our interaction', 'I did not feel judged during our interaction')",,,,,"('Default', 'Strong Republican')","(0, 2)",Strong Democrat,-2,1.0,0.0,1,0,0,1,Democrat,"('Default', 'Republican')",1,0,3,2,4,2.0,2,-1.0,1.0,-2.0,-1,3.0,0.5,0.2,1.0,0.7,0.4687855935908626,1.0,68.0,68.0,Moderate,2,2,2,2,1
2988,66,Female,White,Extremely liberal,Strong Democrat,Not very familiar (I have heard of AI but have little direct experience),Once a week,Somewhat uncomfortable,No,Not very confident,Very untrustworthy,A few times a day or more,A few times a day or more,About once a day,A few times a day or more,Not very confident,Mostly distrust,Rarely,Once a week,"('This AI is a default GPT-4o model.', 'This AI is a GPT-4o model prompted to be strong republican.')",11,Donald Trump once suggested that people inject bleach or other disinfectants into their bodies to treat COVID-19.,true,Extremely confident,true,Extremely confident,false,Democrat,Democrat,Not at all,Slightly meaningful,A mix of both a tool and an influencing agent,"('I did not feel judged during our interaction', 'I did not feel judged during our interaction')",,,,,"('Default', 'Strong Republican')","(0, 2)",Strong Democrat,-2,1.0,1.0,1,1,-1,1,Democrat,"('Default', 'Republican')",0,0,3,2,4,2.0,2,-1.0,1.0,-2.0,-1,3.0,0.7,0.5,0.3,0.5,0.1000000000000002,3.0,197.0,65.66666666666667,Moderate,2,2,2,2,2
2988,66,Female,White,Extremely liberal,Strong Democrat,Not very familiar (I have heard of AI but have little direct experience),Once a week,Somewhat uncomfortable,No,Not very confident,Very untrustworthy,A few times a day or more,A few times a day or more,About once a day,A few times a day or more,Not very confident,Mostly distrust,Rarely,Once a week,"('This AI is a default GPT-4o model.', 'This AI is a GPT-4o model prompted to be strong republican.')",13,Donald Trump's Hollywood Walk of Fame star had a drain installed due to people repeatedly urinating on it.,false,Very confident,false,Extremely confident,false,Democrat,Democrat,Not at all,Slightly meaningful,A mix of both a tool and an influencing agent,"('I did not feel judged during our interaction', 'I did not feel judged during our interaction')",,,,,"('Default', 'Strong Republican')","(0, 2)",Strong Democrat,-2,0.8,1.0,-1,-1,-1,1,Democrat,"('Default', 'Republican')",1,1,3,2,4,2.0,2,-1.0,1.0,-2.0,-1,3.0,0.9,0.0,0.0999999999999999,1.0,0.1000000000000006,3.0,237.0,79.0,High,3,3,2,2,2
2991,35,Male,American Indian or Alaska Native,Conservative,Strong Republican,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Very confident,Somewhat trustworthy,A few times a week,About once a week,About once a month,About once a month,Somewhat confident,Mostly trust,Frequently,Several times a week,"('This AI is a GPT-4o model prompted to be somewhat democrat.', 'This AI is a GPT-4o model prompted to be somewhat democrat.')",2,"During jury selection for Trump's hush-money trial, the judge asked a potential juror, ""It says here that you tweeted, ahem, and I quote 'f*** that treasonous orange s***gibbon and the dead ferret on his head' —is that accurate?"" The juror responded, ""The tweet speaks for itself, your honor.""",true,Slightly confident,false,Slightly confident,false,Democrat,Republican,,,,"(nan, nan)",,,,,"('Somewhat Democrat', 'Somewhat Democrat')","(-1, -1)",Strong Republican,2,0.4,0.4,1,-1,-1,0,Republican,"('Democrat', 'Democrat')",1,0,-2,4,6,3.0,4,2.0,3.0,1.0,1,4.0,0.0,0.0,1.0,1.0,0.1000000000000026,1.0,7.0,7.0,Low,1,2,2,2,1
2991,35,Male,American Indian or Alaska Native,Conservative,Strong Republican,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Very confident,Somewhat trustworthy,A few times a week,About once a week,About once a month,About once a month,Somewhat confident,Mostly trust,Frequently,Several times a week,"('This AI is a GPT-4o model prompted to be somewhat democrat.', 'This AI is a GPT-4o model prompted to be somewhat democrat.')",9,"Project 2025, a proposed conservative blueprint for the next U.S. Republican presidential administration, has called to shut down the U.S. Department of Education.",true,Slightly confident,true,Slightly confident,true,Republican,Democrat,,,,"(nan, nan)",,,,,"('Somewhat Democrat', 'Somewhat Democrat')","(-1, -1)",Strong Republican,2,0.4,0.4,1,1,1,0,Republican,"('Democrat', 'Democrat')",1,1,-2,4,6,3.0,4,2.0,3.0,1.0,1,4.0,0.8,1.0,0.8,1.0,0.1000000000000008,1.0,5.0,5.0,Very Low,0,0,1,0,1
2991,35,Male,American Indian or Alaska Native,Conservative,Strong Republican,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Very confident,Somewhat trustworthy,A few times a week,About once a week,About once a month,About once a month,Somewhat confident,Mostly trust,Frequently,Several times a week,"('This AI is a GPT-4o model prompted to be somewhat democrat.', 'This AI is a GPT-4o model prompted to be somewhat democrat.')",13,Donald Trump's Hollywood Walk of Fame star had a drain installed due to people repeatedly urinating on it.,true,Slightly confident,false,Slightly confident,false,Democrat,Democrat,,,,"(nan, nan)",,,,,"('Somewhat Democrat', 'Somewhat Democrat')","(-1, -1)",Strong Republican,2,0.4,0.4,1,-1,-1,0,Republican,"('Democrat', 'Democrat')",1,0,-2,4,6,3.0,4,2.0,3.0,1.0,1,4.0,0.2,0.2,0.8,0.8,4.912026520123207,1.0,7.0,7.0,Low,1,1,1,1,1
